sensor,agg,axis,feature_name,feature_importance
tGravityAcc,arCoeff(),"X,3","tGravityAcc-arCoeff()-X,3",0.0030883837300693306
tGravityAcc,arCoeff(),"X,4","tGravityAcc-arCoeff()-X,4",0.004617511816442546
tGravityAcc,arCoeff(),"Y,1","tGravityAcc-arCoeff()-Y,1",0.004132692955795958
tGravityAcc,arCoeff(),"Y,2","tGravityAcc-arCoeff()-Y,2",0.011650297908520872
tGravityAcc,arCoeff(),"Y,3","tGravityAcc-arCoeff()-Y,3",0.005189894784229356
tGravityAcc,arCoeff(),"Y,4","tGravityAcc-arCoeff()-Y,4",0.0016557745945735638
tGravityAcc,arCoeff(),"Z,1","tGravityAcc-arCoeff()-Z,1",0.006352227063562888
tGravityAcc,arCoeff(),"Z,2","tGravityAcc-arCoeff()-Z,2",0.006755368330393461
tGravityAcc,arCoeff(),"Z,3","tGravityAcc-arCoeff()-Z,3",0.004261280392161132
tGravityAcc,arCoeff(),"Z,4","tGravityAcc-arCoeff()-Z,4",0.00533851841008441
tGravityAcc,correlation(),"X,Y","tGravityAcc-correlation()-X,Y",0.001966566584616419
tGravityAcc,correlation(),"X,Z","tGravityAcc-correlation()-X,Z",0.0011792900123825099
tGravityAcc,correlation(),"Y,Z","tGravityAcc-correlation()-Y,Z",0.0014938309423221067
tBodyAccJerk,mean(),X,tBodyAccJerk-mean()-X,0.00026491117074520953
tBodyAccJerk,mean(),Y,tBodyAccJerk-mean()-Y,0.00017202878779558827
tBodyAccJerk,mean(),Z,tBodyAccJerk-mean()-Z,8.636171948269788e-05
tBodyAccJerk,std(),X,tBodyAccJerk-std()-X,0.010723440767834061
tBodyAccJerk,std(),Y,tBodyAccJerk-std()-Y,0.006239556155614501
tBodyAccJerk,std(),Z,tBodyAccJerk-std()-Z,0.0006416241573592218
tBodyAccJerk,mad(),X,tBodyAccJerk-mad()-X,0.004864774788327609
tBodyAccJerk,mad(),Y,tBodyAccJerk-mad()-Y,0.001560030535591131
tBodyAccJerk,mad(),Z,tBodyAccJerk-mad()-Z,0.0002797743649020674
tBodyAccJerk,max(),X,tBodyAccJerk-max()-X,0.003681930421223968
tBodyAccJerk,max(),Y,tBodyAccJerk-max()-Y,0.00036214905194856343
tBodyAccJerk,max(),Z,tBodyAccJerk-max()-Z,0.0009203052094504835
tBodyAccJerk,min(),X,tBodyAccJerk-min()-X,0.00025935216948674486
