사용일자,요일,노선명,역명,승하차총승객수
2019-01-01,화,1호선,독산,11484.0
2019-01-01,화,1호선,지제,2990.0
2019-01-01,화,1호선,개봉,23151.0
2019-01-01,화,1호선,오류동,13729.0
2019-01-01,화,1호선,주안,24346.0
2019-01-01,화,1호선,구일,5373.0
2019-01-01,화,1호선,온수,6868.0
2019-01-01,화,4호선,이촌,3205.0
2019-01-01,화,3호선,옥수,52.0
2019-01-01,화,1호선,외대앞,10064.0
2019-01-01,화,1호선,신이문,8759.0
2019-01-01,화,1호선,석계,10431.0
2019-01-01,화,1호선,광운대,8151.0
2019-01-01,화,1호선,월계,5332.0
2019-01-01,화,1호선,녹천,4389.0
2019-01-01,화,4호선,창동,1.0
2019-01-01,화,1호선,방학,9780.0
2019-01-01,화,1호선,도봉,5785.0
2019-01-01,화,1호선,도봉산,10208.0
2019-01-01,화,4호선,산본,17274.0
2019-01-01,화,4호선,대야미,4040.0
2019-01-01,화,4호선,한대앞,8087.0
2019-01-01,화,4호선,중앙,20929.0
2019-01-01,화,4호선,고잔,7064.0
2019-01-01,화,4호선,정왕,10578.0
2019-01-01,화,4호선,오이도,11247.0
2019-01-01,화,4호선,수리산,3380.0
2019-01-01,화,4호선,선바위,5461.0
2019-01-01,화,4호선,경마공원,788.0
2019-01-01,화,4호선,대공원,4017.0
2019-01-01,화,4호선,과천,4258.0
2019-01-01,화,4호선,정부과천청사,7388.0
2019-01-01,화,4호선,평촌,11054.0
2019-01-01,화,2호선,선릉,4973.0
2019-01-01,화,3호선,도곡,4029.0
2019-01-01,화,3호선,수서,13522.0
2019-01-01,화,3호선,백석,12224.0
2019-01-01,화,1호선,회기,26611.0
2019-01-01,화,4호선,서울역,70541.0
2019-01-01,화,2호선,시청,22129.0
2019-01-01,화,4호선,서울역,2197.0
2019-01-01,화,2호선,신촌,656.0
2019-01-01,화,2호선,홍대입구,2943.0
2019-01-01,화,5호선,방화,7767.0
2019-01-01,화,5호선,개화산,5663.0
2019-01-01,화,5호선,김포공항,12009.0
2019-01-01,화,5호선,송정,9221.0
2019-01-01,화,5호선,마곡,4273.0
2019-01-01,화,5호선,발산,13685.0
2019-01-01,화,5호선,우장산,12554.0
2019-01-01,화,5호선,화곡,25477.0
2019-01-01,화,2호선,까치산,28608.0
2019-01-01,화,5호선,신정,11197.0
2019-01-01,화,5호선,목동,14260.0
2019-01-01,화,5호선,오목교,20998.0
2019-01-01,화,2호선,영등포구청,1958.0
2019-01-01,화,5호선,영등포시장,8644.0
2019-01-01,화,1호선,신길,2825.0
2019-01-01,화,5호선,여의도,10337.0
2019-01-01,화,5호선,여의나루,6808.0
2019-01-01,화,5호선,마포,8355.0
2019-01-01,화,5호선,애오개,4991.0
2019-01-01,화,2호선,충정로,2277.0
2019-01-01,화,5호선,서대문,8804.0
2019-01-01,화,5호선,광화문,28409.0
2019-01-01,화,3호선,종로3가,22850.0
2019-01-01,화,2호선,을지로4가,3273.0
2019-01-01,화,2호선,동대문역사문화공원,1879.0
2019-01-01,화,5호선,청구,3086.0
2019-01-01,화,5호선,신금호,5377.0
2019-01-01,화,5호선,행당,6600.0
2019-01-01,화,5호선,마장,5540.0
2019-01-01,화,5호선,답십리,13548.0
2019-01-01,화,5호선,장한평,13757.0
2019-01-01,화,5호선,군자,10694.0
2019-01-01,화,5호선,아차산,23089.0
2019-01-01,화,5호선,광나루,14360.0
2019-01-01,화,5호선,천호,20191.0
2019-01-01,화,5호선,강동,15937.0
2019-01-01,화,5호선,길동,6766.0
2019-01-01,화,5호선,굽은다리,9098.0
2019-01-01,화,5호선,명일,6807.0
2019-01-01,화,5호선,고덕,6824.0
2019-01-01,화,5호선,상일동,8138.0
2019-01-01,화,5호선,둔촌동,7351.0
2019-01-01,화,5호선,올림픽공원,3382.0
2019-01-01,화,5호선,방이,5904.0
2019-01-01,화,3호선,오금,2387.0
2019-01-01,화,5호선,개롱,5381.0
2019-01-01,화,5호선,거여,6038.0
2019-01-01,화,5호선,마천,5117.0
2019-01-01,화,6호선,응암,17645.0
2019-01-01,화,6호선,역촌,4121.0
2019-01-01,화,3호선,불광,6565.0
2019-01-01,화,6호선,독바위,3334.0
2019-01-01,화,3호선,연신내,1.0
2019-01-01,화,6호선,구산,6244.0
2019-01-01,화,6호선,새절,12308.0
2019-01-01,화,6호선,증산,10211.0
2019-01-01,화,6호선,월드컵경기장,13631.0
2019-01-01,화,6호선,마포구청,11653.0
2019-01-01,화,6호선,망원,14097.0
2019-01-01,화,2호선,합정,15616.0
2019-01-01,화,6호선,상수,12487.0
2019-01-01,화,6호선,광흥창,6848.0
2019-01-01,화,6호선,대흥,6287.0
2019-01-01,화,4호선,삼각지,5367.0
2019-01-01,화,6호선,녹사평,6670.0
2019-01-01,화,6호선,이태원,31606.0
2019-01-01,화,6호선,한강진,9581.0
2019-01-01,화,6호선,버티고개,2122.0
2019-01-01,화,3호선,약수,2945.0
2019-01-01,화,5호선,청구,2805.0
2019-01-01,화,2호선,신당,5963.0
2019-01-01,화,6호선,동묘앞,9871.0
2019-01-01,화,6호선,창신,2622.0
2019-01-01,화,6호선,보문,6565.0
2019-01-01,화,6호선,안암,10527.0
2019-01-01,화,6호선,고려대,7708.0
2019-01-01,화,6호선,월곡,10371.0
2019-01-01,화,6호선,상월곡,4636.0
2019-01-01,화,6호선,돌곶이,6928.0
2019-01-01,화,1호선,석계,11468.0
2019-01-01,화,6호선,태릉입구,4982.0
2019-01-01,화,6호선,화랑대,8821.0
2019-01-01,화,6호선,봉화산,7636.0
2019-01-01,화,1호선,도봉산,10166.0
2019-01-01,화,7호선,수락산,13165.0
2019-01-01,화,7호선,마들,10193.0
2019-01-01,화,4호선,노원,18950.0
2019-01-01,화,7호선,중계,11935.0
2019-01-01,화,7호선,하계,16726.0
2019-01-01,화,7호선,공릉,10993.0
2019-01-01,화,6호선,태릉입구,7583.0
2019-01-01,화,7호선,먹골,9616.0
2019-01-01,화,7호선,중화,9930.0
2019-01-01,화,7호선,면목,14150.0
2019-01-01,화,7호선,사가정,15314.0
2019-01-01,화,7호선,용마산,5996.0
2019-01-01,화,7호선,중곡,8998.0
2019-01-01,화,5호선,군자,12257.0
2019-01-01,화,7호선,어린이대공원,10810.0
2019-01-01,화,2호선,건대입구,18495.0
2019-01-01,화,7호선,뚝섬유원지,7780.0
2019-01-01,화,7호선,청담,11680.0
2019-01-01,화,7호선,학동,8692.0
2019-01-01,화,7호선,논현,11032.0
2019-01-01,화,7호선,반포,5510.0
2019-01-01,화,3호선,고속터미널,24008.0
2019-01-01,화,7호선,내방,8238.0
2019-01-01,화,7호선,이수,14307.0
2019-01-01,화,7호선,남성,9947.0
2019-01-01,화,7호선,숭실대입구,10453.0
